"Plot","BA","TPA","biomass","bm_pa","Dom_species","Abundance","Ttl_Trees","richness.x","rel_abd","richness.y","Common.name","bm_tonpa"
"K6",161.945006939879,117.496319854719,1542.35886450598,6249.01691292261,"Mixed",9,29,9,31,9,"Mixed",6.24901691292261
"L3",138.825600847396,166.115486691154,1458.42815233344,5908.9634714378,"Mixed",9,41,10,22,10,"Mixed",5.9089634714378
"L4",140.774868507561,149.909097745676,1392.46898526302,5641.72349242206,"Mixed",11,36,12,30.6,12,"Mixed",5.64172349242206
"L5",107.781176492074,85.083541963762,1088.13364936689,4408.67928657566,"Mixed",10,21,6,47.6,6,"Mixed",4.40867928657566
"M3",70.1285557747096,113.444722618349,937.094276217273,3796.72857973969,"Mixed",7,28,12,25,12,"Mixed",3.79672857973969
"M4",150.140899627438,117.496319854719,1395.68569693144,5654.75631252801,"Mixed",8,29,11,27.6,11,"Mixed",5.65475631252801
"N4",97.7015998246767,105.34152814561,1206.9840199273,4890.21311947974,"SUM",17,26,7,65.4,7,"Sugar maple",4.89021311947974
"O4",110.754467090365,89.1351392001316,1187.4623771748,4811.1192856543,"SUM",12,22,8,54.5,8,"Sugar maple",4.8111192856543
"O5",76.6063737307327,76.9803474910227,788.963949711637,3196.56415824693,"Mixed",9,19,6,47.4,6,"Mixed",3.19656415824693
"P4",66.2530024106947,85.083541963762,917.449238539447,3717.13479937583,"SUM",13,21,7,61.9,7,"Sugar maple",3.71713479937583
"P5",103.731490612901,125.599514327458,1252.38113612108,5074.1439499896,"SUM",21,31,6,67.7,6,"Sugar maple",5.0741439499896
"P6",135.152465483235,121.547917091089,1210.86713076337,4905.94592061167,"Mixed",10,30,7,33.3,7,"Mixed",4.90594592061167
"Q4",105.529828694572,137.754306036567,1077.71508599422,4366.46746400804,"Mixed",11,34,8,32.4,8,"Mixed",4.36646746400804
"Q5",97.6669059098546,101.28993090924,1089.58699636196,4414.56766324438,"Mixed",7,25,10,28,10,"Mixed",4.41456766324438
"Q6",105.965822923515,93.1867364365012,1044.76000797883,4232.94676099654,"SUM",13,23,8,56.5,8,"Sugar maple",4.23294676099654
"Q7",140.375557016583,141.805903272937,1485.65362829563,6019.27013460508,"Mixed",17,35,9,48.6,9,"Mixed",6.01927013460508
"R5",141.778119292863,166.115486691154,1657.46273904998,6715.37145292051,"SUM",28,41,9,68.3,9,"Sugar maple",6.71537145292051
"R6",79.0579297245964,113.444722618349,1064.37928573111,4312.43617251723,"SUM",16,28,7,57.1,7,"Sugar maple",4.31243617251723
"S5",158.466113302652,162.063889454785,1662.73524079892,6736.73350643529,"Mixed",16,40,11,40,11,"Mixed",6.73673350643529
